"0","1","2","3","4","5","6","7","8","9","10","11"
"26","1","1","2","0","0","0","0","0","1","0","0"
"0","172","0","18","0","1","1","0","0","0","7","1"
"0","0","97","4","4","0","1","0","0","0","2","1"
"0","11","2","1297","21","3","9","6","1","4","46","10"
"0","0","0","33","134","0","0","1","0","0","15","1"
"0","0","0","13","3","29","3","0","0","6","0","0"
"0","1","0","14","0","3","201","0","0","0","1","0"
"0","3","0","8","1","0","0","32","0","0","3","6"
"0","0","0","2","0","0","0","0","12","1","0","0"
"0","1","0","11","1","12","0","0","0","118","0","0"
"0","3","1","47","14","0","1","1","0","0","335","7"
"0","3","0","16","1","0","1","4","0","1","4","86"
