"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"3557","711","485","356","23","42","366","20","112","85","11","41","675","45","138","0","15","15","52","0","10","16","5","25","0","1","2","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","2649","222","60","50","166","19","33","36","60","0","1","24","54","1","0","0","0","4","6","0","0","10","1","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","713","1798","60","121","18","199","3","73","17","0","15","21","78","10","5","25","5","9","0","0","5","5","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"222","324","95","1596","19","0","175","8","12","21","0","5","44","22","1","5","0","5","0","0","0","0","24","7","0","6","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","903","360","118","1760","15","46","7","42","20","0","10","14","70","2","0","0","0","138","0","0","0","49","16","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"136","606","38","37","66","1700","24","1","48","2","0","7","67","72","10","0","0","0","13","56","2","0","7","7","0","1","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","291","162","339","37","0","431","5","15","36","0","15","41","21","10","0","10","0","20","0","0","0","9","15","0","8","2","8","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"45","840","50","69","7","3","26","733","7","10","0","5","21","28","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","477","129","43","78","59","27","1","522","36","2","10","82","103","9","0","0","2","22","3","0","0","1","4","0","5","0","6","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"238","554","134","179","16","6","80","21","15","141","0","10","46","7","36","0","0","0","33","0","0","0","22","8","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"478","108","122","53","5","0","116","10","12","5","26","10","91","6","20","0","0","5","15","0","0","10","0","4","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"452","182","129","139","21","7","173","1","39","11","0","40","70","25","7","0","0","5","7","0","0","0","8","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"720","228","141","57","11","15","30","2","112","18","10","7","670","12","85","0","0","5","5","0","0","0","15","2","0","0","1","0","2","0","0","0","0","0","2","0","0","5","0","0","0","0","0","0"
"9","62","4","6","7","5","2","2","9","1","0","0","2","53","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","28","35","5","0","0","5","0","6","5","0","0","143","0","119","0","0","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"45","75","25","20","5","0","0","30","0","15","0","0","10","0","0","355","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","21","147","0","0","0","15","0","2","5","0","0","15","13","0","0","51","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","39","20","29","0","5","16","0","19","10","0","0","67","13","15","2","0","12","0","0","0","0","1","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","26","22","21","27","0","10","0","1","5","0","0","0","0","0","0","0","0","20","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","146","1","8","13","166","13","0","20","7","0","0","12","20","0","0","0","0","2","50","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","10","10","5","10","0","10","0","5","5","0","0","35","0","12","0","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15","0","15","30","0","0","0","0","5","0","0","0","5","5","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","20","16","42","15","0","36","0","0","0","0","5","5","0","0","0","0","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","10","22","33","12","0","10","0","0","0","0","0","23","6","0","0","0","0","14","0","0","0","0","21","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","82","0","6","0","1","0","0","5","15","0","0","10","11","0","0","0","0","5","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","18","6","0","5","0","10","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
