"0","1","2","3","4","5","6","7","8","9","10","11"
"232","23","38","0","0","0","0","0","0","0","0","0"
"50","209","3","0","0","0","0","0","0","0","0","0"
"142","0","173","0","0","0","1","0","0","0","0","11"
"0","0","2","111","6","8","1","122","32","96","0","1"
"22","0","0","0","221","38","7","7","11","0","0","34"
"0","0","0","49","54","79","9","69","41","36","0","11"
"13","5","9","2","61","9","25","74","14","40","13","43"
"0","0","0","51","24","55","25","125","1","32","2","1"
"1","0","24","51","32","76","37","47","43","34","2","1"
"0","0","0","34","62","57","23","42","40","62","0","28"
"4","0","41","115","34","3","14","27","1","85","0","47"
"8","2","30","15","77","18","1","32","0","4","2","139"
