"0","1","2","3","4","5","6","7","8","9","10","11"
"280","0","49","0","0","0","0","0","0","0","0","0"
"1","287","0","0","0","0","0","0","0","0","4","4"
"25","4","252","0","9","0","3","0","0","0","5","31"
"0","0","0","171","38","54","0","25","34","23","0","0"
"0","0","0","33","251","0","1","22","27","14","0","0"
"0","0","0","48","2","211","0","0","1","36","0","0"
"0","0","22","1","35","0","206","25","3","0","16","8"
"1","0","2","12","11","6","15","116","146","9","0","22"
"1","0","0","8","14","2","1","62","241","20","3","13"
"0","0","0","43","11","15","0","20","0","240","0","0"
"25","0","0","0","10","0","7","8","0","0","289","0"
"1","0","36","0","0","0","1","0","3","0","1","292"
